year,matchid,day,date,time,atime,attendance,venue,winner,won_by,extra_time
2014,2014-23-03,Sat,30/08/2014,4:40 PM,,31227,Stadium Australia,RIC,3,0
2014,2014-23-04,Sat,30/08/2014,7:40 PM,,24659,Kardinia Park,GEE,62,0
2014,2014-23-05,Sat,30/08/2014,7:40 PM,,17174,Docklands,NM,30,0
2014,2014-23-06,Sun,31/08/2014,1:10 PM,,11840,Carrara,WCE,52,0
2014,2014-23-07,Sun,31/08/2014,2:50 PM,3:20 PM,44969,ADE Oval,ADE,79,0
2014,2014-23-08,Sun,31/08/2014,4:40 PM,,14725,Docklands,GWS,6,0
2014,2014-24-QualifyingFinal,Fri,05/09/2014,7:50 PM,,74757,M.C.G.,HAW,36,0
2014,2014-25-QualifyingFinal,Sat,06/09/2014,2:45 PM,,35998,Stadium Australia,SYD,24,0
2014,2014-26-EliminationFinal,Sat,06/09/2014,7:15 PM,,78561,M.C.G.,NM,12,0
2014,2014-27-EliminationFinal,Sun,07/09/2014,2:50 PM,3:20 PM,49886,ADE Oval,POR,57,0
2014,2014-28-SemiFinal,Fri,12/09/2014,7:50 PM,,65964,M.C.G.,NM,6,0
2014,2014-29-SemiFinal,Sat,13/09/2014,5:45 PM,7:45 PM,42338,Subiaco,POR,22,0
2014,2014-30-PreliminaryFinal,Fri,19/09/2014,7:50 PM,,48029,Stadium Australia,SYD,71,0
2014,2014-31-PreliminaryFinal,Sat,20/09/2014,4:45 PM,,74856,M.C.G.,HAW,3,0
2014,2014-32-GrandFinal,Sat,27/09/2014,2:30 PM,,99460,M.C.G.,HAW,63,0
